1,2010-08-15,0,889
1,2010-04-26,1,491
1,2010-05-08,0,10
1,2010-06-01,0,685
2,2010-07-03,0,641
3,2011-01-28,0,187
3,2010-12-28,0,601
3,2011-01-24,0,462
3,2010-06-11,0,852
3,2011-01-12,0,505
3,2010-07-30,1,440
3,2010-08-10,1,583
3,2010-06-20,1,809
3,2011-01-31,1,133
3,2010-08-21,0,722
3,2010-07-24,1,824
3,2010-05-09,1,400
3,2010-06-23,1,453
3,2011-03-10,1,169
3,2010-09-01,0,565
3,2010-05-12,1,852
3,2010-12-13,1,61
3,2010-05-02,1,25
4,2010-09-02,0,333
4,2010-12-29,0,187
4,2011-01-08,0,474
4,2010-10-21,0,986
4,2011-03-18,1,249
4,2010-09-15,1,860
4,2010-11-21,1,960
4,2010-09-22,0,330
4,2010-05-18,0,291
4,2010-06-14,0,692
4,2011-02-28,0,23
4,2010-10-10,1,228
4,2010-07-11,1,476
4,2010-10-17,1,489
5,2011-02-24,0,760
5,2010-10-31,0,389
5,2010-09-09,0,372
5,2010-07-29,1,695
5,2010-11-22,0,665
5,2010-12-31,0,256
5,2011-04-11,0,361
5,2011-01-06,1,685
5,2011-04-03,0,605
5,2010-07-11,0,125
5,2011-03-12,1,203
5,2011-02-07,1,201
6,2010-10-27,1,435
7,2011-02-17,0,773
7,2010-07-30,0,633
7,2010-04-20,1,185
7,2010-08-17,0,266
7,2010-05-31,0,915
7,2011-02-23,1,224
7,2010-09-05,0,574
7,2010-09-17,1,438
8,2010-07-02,0,354
8,2011-04-04,1,468
8,2010-07-08,1,26
8,2010-05-27,0,179
8,2011-03-20,1,165
8,2011-01-25,1,488
8,2011-02-27,1,544
8,2010-12-20,0,841
8,2010-10-10,1,754
8,2010-05-25,1,640
8,2010-11-13,0,559
8,2011-02-21,1,947
8,2010-06-11,1,295
8,2011-04-12,0,679
8,2010-09-17,0,716
8,2010-07-01,1,524
8,2010-11-15,1,568
8,2010-12-11,1,962
8,2011-03-06,1,422
9,2010-08-10,1,478
9,2010-08-22,0,725
9,2010-07-26,1,142
9,2010-05-08,0,586
9,2010-05-28,0,733
9,2010-10-04,0,607
9,2010-04-20,0,323
9,2010-06-16,0,361
9,2011-03-29,0,126
9,2011-01-08,1,115
9,2010-12-12,1,800
9,2010-08-26,0,650
9,2011-04-05,1,332
10,2010-10-17,1,232
10,2010-07-23,0,585
10,2010-10-25,1,44
10,2010-05-26,1,317
10,2011-01-30,0,558
10,2011-01-17,1,50
10,2010-11-04,0,791
11,2010-12-21,0,509
11,2010-07-11,1,200
11,2010-09-14,0,223
11,2010-09-04,0,341
11,2010-09-28,1,312
11,2010-04-21,0,915
11,2011-02-02,0,52
11,2010-08-11,0,611
11,2010-07-25,1,73
11,2010-10-31,0,866
11,2010-06-08,0,222
11,2010-06-30,1,18
11,2010-05-01,0,790
12,2010-11-21,0,791
13,2010-04-22,1,30
14,2010-08-24,1,909
14,2011-02-07,0,853
14,2011-03-26,0,799
14,2010-12-18,0,980
